concept:name,time:timestamp,case:concept:name
Доработка заявления,1970-04-26 20:47:32+00:00,2
Первичная проверка документов,1970-04-26 20:47:33+00:00,2
Уведомить о доработке,1970-04-26 20:47:34+00:00,2
Доработка заявления,1970-04-26 20:47:35+00:00,2
Первичная проверка документов,1970-04-26 20:47:36+00:00,2
Уведомить о доработке,1970-04-26 20:47:37+00:00,2
Доработка заявления,1970-04-26 20:47:38+00:00,2
Первичная проверка документов,1970-04-26 20:47:39+00:00,2
Уведомить о доработке,1970-04-26 20:47:40+00:00,2
Доработка заявления,1970-04-26 20:47:41+00:00,2
Первичная проверка документов,1970-04-26 20:47:42+00:00,2
Регистрация заявления,1970-04-26 20:47:43+00:00,2
Проверка инженером-экспертом,1970-04-26 20:47:44+00:00,2
Проверка архитектором-экспертом,1970-04-26 20:47:45+00:00,2
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:47:46+00:00,2
Требуется ручная проверка,1970-04-26 20:47:47+00:00,2
Проверка санэпидем надзором,1970-04-26 20:47:48+00:00,2
Запрос заключения пожарного эксперта,1970-04-26 20:47:49+00:00,2
Отправка на медосмотр,1970-04-26 20:47:50+00:00,2
Медкомиссия,1970-04-26 20:47:51+00:00,2
Отправка документов со стороны архитектурного отдела,1970-04-26 20:47:52+00:00,2
Отправка документов со стороны инженерного отдела,1970-04-26 20:47:53+00:00,2
Формирование пакета документов,1970-04-26 20:47:54+00:00,2
Рассмотрение руководителем,1970-04-26 20:47:55+00:00,2
Отправить уведомление об отказе,1970-04-26 20:47:56+00:00,2
Первичная проверка документов,1970-04-26 20:47:57+00:00,3
Уведомить о доработке,1970-04-26 20:47:58+00:00,3
Доработка заявления,1970-04-26 20:47:59+00:00,3
Первичная проверка документов,1970-04-26 20:48:00+00:00,3
Регистрация заявления,1970-04-26 20:48:01+00:00,3
Проверка архитектором-экспертом,1970-04-26 20:48:02+00:00,3
Проверка инженером-экспертом,1970-04-26 20:48:03+00:00,3
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:48:04+00:00,3
Запрос заключения пожарного эксперта,1970-04-26 20:48:05+00:00,3
Отправка документов со стороны архитектурного отдела,1970-04-26 20:48:06+00:00,3
Отправка на медосмотр,1970-04-26 20:48:07+00:00,3
Медкомиссия,1970-04-26 20:48:08+00:00,3
Отправка документов со стороны инженерного отдела,1970-04-26 20:48:09+00:00,3
Уведомление заявителя о не прохождении надзора,1970-04-26 20:48:10+00:00,3
Исправление замечаний по проекту,1970-04-26 20:48:11+00:00,3
Регистрация заявления,1970-04-26 20:48:12+00:00,3
Проверка архитектором-экспертом,1970-04-26 20:48:13+00:00,3
Проверка инженером-экспертом,1970-04-26 20:48:14+00:00,3
Требуется ручная проверка,1970-04-26 20:48:15+00:00,3
Требуется ручная проверка,1970-04-26 20:48:16+00:00,3
Ручная проверка архитектора-эксперта,1970-04-26 20:48:17+00:00,3
Проверка инженером экспертом,1970-04-26 20:48:18+00:00,3
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:48:19+00:00,3
Запрос заключения пожарного эксперта,1970-04-26 20:48:20+00:00,3
Отправка документов со стороны архитектурного отдела,1970-04-26 20:48:21+00:00,3
Отправка на медосмотр,1970-04-26 20:48:22+00:00,3
Медкомиссия,1970-04-26 20:48:23+00:00,3
Отправка документов со стороны инженерного отдела,1970-04-26 20:48:24+00:00,3
Уведомление заявителя о не прохождении надзора,1970-04-26 20:48:25+00:00,3
Исправление замечаний по проекту,1970-04-26 20:48:26+00:00,3
Регистрация заявления,1970-04-26 20:48:27+00:00,3
Проверка архитектором-экспертом,1970-04-26 20:48:28+00:00,3
Отправить запрос на дополнительную экспертизу,1970-04-26 20:48:29+00:00,3
Проверка данных по материалу,1970-04-26 20:48:30+00:00,3
Проверка инженером-экспертом,1970-04-26 20:48:31+00:00,3
Требуется ручная проверка,1970-04-26 20:48:32+00:00,3
Запрос заключения пожарного эксперта,1970-04-26 20:48:33+00:00,3
Требуется ручная проверка,1970-04-26 20:48:34+00:00,3
Проверка инженером экспертом,1970-04-26 20:48:35+00:00,3
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:48:36+00:00,3
Отправка документов со стороны инженерного отдела,1970-04-26 20:48:37+00:00,3
Ручная проверка пожарного надзора,1970-04-26 20:48:38+00:00,3
Отправка документов со стороны архитектурного отдела,1970-04-26 20:48:39+00:00,3
Уведомление заявителя о не прохождении надзора,1970-04-26 20:48:40+00:00,3
Исправление замечаний по проекту,1970-04-26 20:48:41+00:00,3
Регистрация заявления,1970-04-26 20:48:42+00:00,3
Проверка архитектором-экспертом,1970-04-26 20:48:43+00:00,3
Проверка инженером-экспертом,1970-04-26 20:48:44+00:00,3
Требуется ручная проверка,1970-04-26 20:48:45+00:00,3
Ручная проверка архитектора-эксперта,1970-04-26 20:48:46+00:00,3
Запрос заключения пожарного эксперта,1970-04-26 20:48:47+00:00,3
Отправка документов со стороны архитектурного отдела,1970-04-26 20:48:48+00:00,3
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:48:49+00:00,3
Отправка запроса миграционной службе,1970-04-26 20:48:50+00:00,3
Медкомиссия,1970-04-26 20:48:51+00:00,3
Отправка документов со стороны инженерного отдела,1970-04-26 20:48:52+00:00,3
Уведомление заявителя о не прохождении надзора,1970-04-26 20:48:53+00:00,3
Исправление замечаний по проекту,1970-04-26 20:48:54+00:00,3
Регистрация заявления,1970-04-26 20:48:55+00:00,3
Проверка архитектором-экспертом,1970-04-26 20:48:56+00:00,3
Требуется ручная проверка,1970-04-26 20:48:57+00:00,3
Проверка инженером-экспертом,1970-04-26 20:48:58+00:00,3
Ручная проверка архитектора-эксперта,1970-04-26 20:48:59+00:00,3
Запрос заключения пожарного эксперта,1970-04-26 20:49:00+00:00,3
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:49:01+00:00,3
Требуется ручная проверка,1970-04-26 20:49:02+00:00,3
Проверка санэпидем надзором,1970-04-26 20:49:03+00:00,3
Требуется ручная проверка,1970-04-26 20:49:04+00:00,3
Отправка документов со стороны инженерного отдела,1970-04-26 20:49:05+00:00,3
Ручная проверка пожарного надзора,1970-04-26 20:49:06+00:00,3
Отправка документов со стороны архитектурного отдела,1970-04-26 20:49:07+00:00,3
Уведомление заявителя о не прохождении надзора,1970-04-26 20:49:08+00:00,3
Исправление замечаний по проекту,1970-04-26 20:49:09+00:00,3
Регистрация заявления,1970-04-26 20:49:10+00:00,3
Проверка архитектором-экспертом,1970-04-26 20:49:11+00:00,3
Проверка инженером-экспертом,1970-04-26 20:49:12+00:00,3
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:49:13+00:00,3
Запрос заключения пожарного эксперта,1970-04-26 20:49:14+00:00,3
Отправка запроса миграционной службе,1970-04-26 20:49:15+00:00,3
Требуется ручная проверка,1970-04-26 20:49:16+00:00,3
Медкомиссия,1970-04-26 20:49:17+00:00,3
Ручная проверка пожарного надзора,1970-04-26 20:49:18+00:00,3
Отправка документов со стороны архитектурного отдела,1970-04-26 20:49:19+00:00,3
Отправка документов со стороны инженерного отдела,1970-04-26 20:49:20+00:00,3
Уведомление заявителя о не прохождении надзора,1970-04-26 20:49:21+00:00,3
Исправление замечаний по проекту,1970-04-26 20:49:22+00:00,3
Регистрация заявления,1970-04-26 20:49:23+00:00,3
Проверка архитектором-экспертом,1970-04-26 20:49:24+00:00,3
Проверка инженером-экспертом,1970-04-26 20:49:25+00:00,3
Отправить запрос на дополнительную экспертизу,1970-04-26 20:49:26+00:00,3
Проверка данных по материалу,1970-04-26 20:49:27+00:00,3
Требуется ручная проверка,1970-04-26 20:49:28+00:00,3
Запрос заключения пожарного эксперта,1970-04-26 20:49:29+00:00,3
Проверка инженером экспертом,1970-04-26 20:49:30+00:00,3
Требуется ручная проверка,1970-04-26 20:49:31+00:00,3
Ручная проверка пожарного надзора,1970-04-26 20:49:32+00:00,3
Отправка документов со стороны архитектурного отдела,1970-04-26 20:49:33+00:00,3
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:49:34+00:00,3
Требуется ручная проверка,1970-04-26 20:49:35+00:00,3
Проверка санэпидем надзором,1970-04-26 20:49:36+00:00,3
Отправка документов со стороны инженерного отдела,1970-04-26 20:49:37+00:00,3
Уведомление заявителя о не прохождении надзора,1970-04-26 20:49:38+00:00,3
Исправление замечаний по проекту,1970-04-26 20:49:39+00:00,3
Регистрация заявления,1970-04-26 20:49:40+00:00,3
Проверка архитектором-экспертом,1970-04-26 20:49:41+00:00,3
Проверка инженером-экспертом,1970-04-26 20:49:42+00:00,3
Запрос заключения пожарного эксперта,1970-04-26 20:49:43+00:00,3
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:49:44+00:00,3
Требуется ручная проверка,1970-04-26 20:49:45+00:00,3
Ручная проверка пожарного надзора,1970-04-26 20:49:46+00:00,3
Отправка документов со стороны архитектурного отдела,1970-04-26 20:49:47+00:00,3
Отправка на медосмотр,1970-04-26 20:49:48+00:00,3
Медкомиссия,1970-04-26 20:49:49+00:00,3
Отправка документов со стороны инженерного отдела,1970-04-26 20:49:50+00:00,3
Уведомление заявителя о не прохождении надзора,1970-04-26 20:49:51+00:00,3
Исправление замечаний по проекту,1970-04-26 20:49:52+00:00,3
Регистрация заявления,1970-04-26 20:49:53+00:00,3
Проверка архитектором-экспертом,1970-04-26 20:49:54+00:00,3
Отправить запрос на дополнительную экспертизу,1970-04-26 20:49:55+00:00,3
Проверка данных по материалу,1970-04-26 20:49:56+00:00,3
Запрос заключения пожарного эксперта,1970-04-26 20:49:57+00:00,3
Проверка инженером-экспертом,1970-04-26 20:49:58+00:00,3
Отправка документов со стороны архитектурного отдела,1970-04-26 20:49:59+00:00,3
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:50:00+00:00,3
Требуется ручная проверка,1970-04-26 20:50:01+00:00,3
Проверка санэпидем надзором,1970-04-26 20:50:02+00:00,3
Отправка документов со стороны инженерного отдела,1970-04-26 20:50:03+00:00,3
Уведомление заявителя о не прохождении надзора,1970-04-26 20:50:04+00:00,3
Исправление замечаний по проекту,1970-04-26 20:50:05+00:00,3
Регистрация заявления,1970-04-26 20:50:06+00:00,3
Проверка архитектором-экспертом,1970-04-26 20:50:07+00:00,3
Запрос заключения пожарного эксперта,1970-04-26 20:50:08+00:00,3
Требуется ручная проверка,1970-04-26 20:50:09+00:00,3
Проверка инженером-экспертом,1970-04-26 20:50:10+00:00,3
Ручная проверка пожарного надзора,1970-04-26 20:50:11+00:00,3
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:50:12+00:00,3
Отправка документов со стороны архитектурного отдела,1970-04-26 20:50:13+00:00,3
Отправка на медосмотр,1970-04-26 20:50:14+00:00,3
Медкомиссия,1970-04-26 20:50:15+00:00,3
Отправка документов со стороны инженерного отдела,1970-04-26 20:50:16+00:00,3
Уведомление заявителя о не прохождении надзора,1970-04-26 20:50:17+00:00,3
Исправление замечаний по проекту,1970-04-26 20:50:18+00:00,3
Регистрация заявления,1970-04-26 20:50:19+00:00,3
Проверка архитектором-экспертом,1970-04-26 20:50:20+00:00,3
Отправить запрос на дополнительную экспертизу,1970-04-26 20:50:21+00:00,3
Проверка данных по материалу,1970-04-26 20:50:22+00:00,3
Проверка инженером-экспертом,1970-04-26 20:50:23+00:00,3
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:50:24+00:00,3
Запрос заключения пожарного эксперта,1970-04-26 20:50:25+00:00,3
Требуется ручная проверка,1970-04-26 20:50:26+00:00,3
Ручная проверка пожарного надзора,1970-04-26 20:50:27+00:00,3
Отправка документов со стороны архитектурного отдела,1970-04-26 20:50:28+00:00,3
Отправка на медосмотр,1970-04-26 20:50:29+00:00,3
Медкомиссия,1970-04-26 20:50:30+00:00,3
Отправка документов со стороны инженерного отдела,1970-04-26 20:50:31+00:00,3
Формирование пакета документов,1970-04-26 20:50:32+00:00,3
Рассмотрение руководителем,1970-04-26 20:50:33+00:00,3
Оформление и подписание разрешения,1970-04-26 20:50:34+00:00,3
Уведомить о готовности,1970-04-26 20:50:35+00:00,3
Получение разрешения заявителем,1970-04-26 20:50:36+00:00,3
Внесение в реестр,1970-04-26 20:50:37+00:00,3
Архивирование документов,1970-04-26 20:50:38+00:00,3
Первичная проверка документов,1970-04-26 20:50:39+00:00,4
Уведомить о доработке,1970-04-26 20:50:40+00:00,4
Доработка заявления,1970-04-26 20:50:41+00:00,4
Первичная проверка документов,1970-04-26 20:50:42+00:00,4
Уведомить о доработке,1970-04-26 20:50:43+00:00,4
Доработка заявления,1970-04-26 20:50:44+00:00,4
Первичная проверка документов,1970-04-26 20:50:45+00:00,4
Регистрация заявления,1970-04-26 20:50:46+00:00,4
Проверка инженером-экспертом,1970-04-26 20:50:47+00:00,4
Проверка архитектором-экспертом,1970-04-26 20:50:48+00:00,4
Запрос заключения пожарного эксперта,1970-04-26 20:50:49+00:00,4
Отправка документов со стороны архитектурного отдела,1970-04-26 20:50:50+00:00,4
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:50:51+00:00,4
Отправка запроса миграционной службе,1970-04-26 20:50:52+00:00,4
Медкомиссия,1970-04-26 20:50:53+00:00,4
Отправка документов со стороны инженерного отдела,1970-04-26 20:50:54+00:00,4
Формирование пакета документов,1970-04-26 20:50:55+00:00,4
Рассмотрение заместителем руководителя,1970-04-26 20:50:56+00:00,4
Отправить уведомление об отказе,1970-04-26 20:50:57+00:00,4
Первичная проверка документов,1970-04-26 20:50:58+00:00,5
Регистрация заявления,1970-04-26 20:50:59+00:00,5
Проверка архитектором-экспертом,1970-04-26 20:51:00+00:00,5
Отправить запрос на дополнительную экспертизу,1970-04-26 20:51:01+00:00,5
Проверка данных по материалу,1970-04-26 20:51:02+00:00,5
Проверка инженером-экспертом,1970-04-26 20:51:03+00:00,5
Требуется ручная проверка,1970-04-26 20:51:04+00:00,5
Проверка инженером экспертом,1970-04-26 20:51:05+00:00,5
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:51:06+00:00,5
Требуется ручная проверка,1970-04-26 20:51:07+00:00,5
Запрос заключения пожарного эксперта,1970-04-26 20:51:08+00:00,5
Проверка санэпидем надзором,1970-04-26 20:51:09+00:00,5
Отправка документов со стороны архитектурного отдела,1970-04-26 20:51:10+00:00,5
Отправка документов со стороны инженерного отдела,1970-04-26 20:51:11+00:00,5
Уведомление заявителя о не прохождении надзора,1970-04-26 20:51:12+00:00,5
Исправление замечаний по проекту,1970-04-26 20:51:13+00:00,5
Регистрация заявления,1970-04-26 20:51:14+00:00,5
Проверка инженером-экспертом,1970-04-26 20:51:15+00:00,5
Проверка архитектором-экспертом,1970-04-26 20:51:16+00:00,5
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:51:17+00:00,5
Запрос заключения пожарного эксперта,1970-04-26 20:51:18+00:00,5
Отправка запроса миграционной службе,1970-04-26 20:51:19+00:00,5
Требуется ручная проверка,1970-04-26 20:51:20+00:00,5
Ручная проверка пожарного надзора,1970-04-26 20:51:21+00:00,5
Отправка документов со стороны инженерного отдела,1970-04-26 20:51:22+00:00,5
Отправка документов со стороны архитектурного отдела,1970-04-26 20:51:23+00:00,5
Уведомление заявителя о не прохождении надзора,1970-04-26 20:51:24+00:00,5
Исправление замечаний по проекту,1970-04-26 20:51:25+00:00,5
Регистрация заявления,1970-04-26 20:51:26+00:00,5
Проверка инженером-экспертом,1970-04-26 20:51:27+00:00,5
Требуется ручная проверка,1970-04-26 20:51:28+00:00,5
Проверка инженером экспертом,1970-04-26 20:51:29+00:00,5
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:51:30+00:00,5
Требуется ручная проверка,1970-04-26 20:51:31+00:00,5
Проверка санэпидем надзором,1970-04-26 20:51:32+00:00,5
Отправка документов со стороны инженерного отдела,1970-04-26 20:51:33+00:00,5
Проверка архитектором-экспертом,1970-04-26 20:51:34+00:00,5
Требуется ручная проверка,1970-04-26 20:51:35+00:00,5
Ручная проверка архитектора-эксперта,1970-04-26 20:51:36+00:00,5
Запрос заключения пожарного эксперта,1970-04-26 20:51:37+00:00,5
Отправка документов со стороны архитектурного отдела,1970-04-26 20:51:38+00:00,5
Уведомление заявителя о не прохождении надзора,1970-04-26 20:51:39+00:00,5
Исправление замечаний по проекту,1970-04-26 20:51:40+00:00,5
Регистрация заявления,1970-04-26 20:51:41+00:00,5
Проверка архитектором-экспертом,1970-04-26 20:51:42+00:00,5
Запрос заключения пожарного эксперта,1970-04-26 20:51:43+00:00,5
Проверка инженером-экспертом,1970-04-26 20:51:44+00:00,5
Отправка документов со стороны архитектурного отдела,1970-04-26 20:51:45+00:00,5
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:51:46+00:00,5
Отправка запроса миграционной службе,1970-04-26 20:51:47+00:00,5
Медкомиссия,1970-04-26 20:51:48+00:00,5
Отправка документов со стороны инженерного отдела,1970-04-26 20:51:49+00:00,5
Уведомление заявителя о не прохождении надзора,1970-04-26 20:51:50+00:00,5
Исправление замечаний по проекту,1970-04-26 20:51:51+00:00,5
Регистрация заявления,1970-04-26 20:51:52+00:00,5
Проверка инженером-экспертом,1970-04-26 20:51:53+00:00,5
Требуется ручная проверка,1970-04-26 20:51:54+00:00,5
Проверка архитектором-экспертом,1970-04-26 20:51:55+00:00,5
Проверка инженером экспертом,1970-04-26 20:51:56+00:00,5
Требуется ручная проверка,1970-04-26 20:51:57+00:00,5
Ручная проверка архитектора-эксперта,1970-04-26 20:51:58+00:00,5
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:51:59+00:00,5
Запрос заключения пожарного эксперта,1970-04-26 20:52:00+00:00,5
Отправка документов со стороны архитектурного отдела,1970-04-26 20:52:01+00:00,5
Отправка на медосмотр,1970-04-26 20:52:02+00:00,5
Медкомиссия,1970-04-26 20:52:03+00:00,5
Отправка документов со стороны инженерного отдела,1970-04-26 20:52:04+00:00,5
Уведомление заявителя о не прохождении надзора,1970-04-26 20:52:05+00:00,5
Исправление замечаний по проекту,1970-04-26 20:52:06+00:00,5
Регистрация заявления,1970-04-26 20:52:07+00:00,5
Проверка инженером-экспертом,1970-04-26 20:52:08+00:00,5
Требуется ручная проверка,1970-04-26 20:52:09+00:00,5
Проверка инженером экспертом,1970-04-26 20:52:10+00:00,5
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:52:11+00:00,5
Проверка архитектором-экспертом,1970-04-26 20:52:12+00:00,5
Отправка документов со стороны инженерного отдела,1970-04-26 20:52:13+00:00,5
Отправить запрос на дополнительную экспертизу,1970-04-26 20:52:14+00:00,5
Проверка данных по материалу,1970-04-26 20:52:15+00:00,5
Запрос заключения пожарного эксперта,1970-04-26 20:52:16+00:00,5
Отправка документов со стороны архитектурного отдела,1970-04-26 20:52:17+00:00,5
Формирование пакета документов,1970-04-26 20:52:18+00:00,5
Рассмотрение заместителем руководителя,1970-04-26 20:52:19+00:00,5
Отправить уведомление об отказе,1970-04-26 20:52:20+00:00,5
Первичная проверка документов,1970-04-26 20:52:21+00:00,6
Уведомить о доработке,1970-04-26 20:52:22+00:00,6
Доработка заявления,1970-04-26 20:52:23+00:00,6
Первичная проверка документов,1970-04-26 20:52:24+00:00,6
Регистрация заявления,1970-04-26 20:52:25+00:00,6
Проверка инженером-экспертом,1970-04-26 20:52:26+00:00,6
Требуется ручная проверка,1970-04-26 20:52:27+00:00,6
Проверка архитектором-экспертом,1970-04-26 20:52:28+00:00,6
Проверка инженером экспертом,1970-04-26 20:52:29+00:00,6
Запрос заключения пожарного эксперта,1970-04-26 20:52:30+00:00,6
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:52:31+00:00,6
Требуется ручная проверка,1970-04-26 20:52:32+00:00,6
Требуется ручная проверка,1970-04-26 20:52:33+00:00,6
Ручная проверка пожарного надзора,1970-04-26 20:52:34+00:00,6
Проверка санэпидем надзором,1970-04-26 20:52:35+00:00,6
Отправка документов со стороны архитектурного отдела,1970-04-26 20:52:36+00:00,6
Отправка документов со стороны инженерного отдела,1970-04-26 20:52:37+00:00,6
Уведомление заявителя о не прохождении надзора,1970-04-26 20:52:38+00:00,6
Исправление замечаний по проекту,1970-04-26 20:52:39+00:00,6
Регистрация заявления,1970-04-26 20:52:40+00:00,6
Проверка архитектором-экспертом,1970-04-26 20:52:41+00:00,6
Требуется ручная проверка,1970-04-26 20:52:42+00:00,6
Проверка инженером-экспертом,1970-04-26 20:52:43+00:00,6
Ручная проверка архитектора-эксперта,1970-04-26 20:52:44+00:00,6
Запрос заключения пожарного эксперта,1970-04-26 20:52:45+00:00,6
Требуется ручная проверка,1970-04-26 20:52:46+00:00,6
Ручная проверка пожарного надзора,1970-04-26 20:52:47+00:00,6
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:52:48+00:00,6
Требуется ручная проверка,1970-04-26 20:52:49+00:00,6
Отправка документов со стороны архитектурного отдела,1970-04-26 20:52:50+00:00,6
Проверка санэпидем надзором,1970-04-26 20:52:51+00:00,6
Отправка на медосмотр,1970-04-26 20:52:52+00:00,6
Медкомиссия,1970-04-26 20:52:53+00:00,6
Отправка документов со стороны инженерного отдела,1970-04-26 20:52:54+00:00,6
Уведомление заявителя о не прохождении надзора,1970-04-26 20:52:55+00:00,6
Исправление замечаний по проекту,1970-04-26 20:52:56+00:00,6
Регистрация заявления,1970-04-26 20:52:57+00:00,6
Проверка архитектором-экспертом,1970-04-26 20:52:58+00:00,6
Требуется ручная проверка,1970-04-26 20:52:59+00:00,6
Ручная проверка архитектора-эксперта,1970-04-26 20:53:00+00:00,6
Запрос заключения пожарного эксперта,1970-04-26 20:53:01+00:00,6
Требуется ручная проверка,1970-04-26 20:53:02+00:00,6
Ручная проверка пожарного надзора,1970-04-26 20:53:03+00:00,6
Проверка инженером-экспертом,1970-04-26 20:53:04+00:00,6
Отправка документов со стороны архитектурного отдела,1970-04-26 20:53:05+00:00,6
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:53:06+00:00,6
Требуется ручная проверка,1970-04-26 20:53:07+00:00,6
Проверка санэпидем надзором,1970-04-26 20:53:08+00:00,6
Отправка запроса миграционной службе,1970-04-26 20:53:09+00:00,6
Отправка документов со стороны инженерного отдела,1970-04-26 20:53:10+00:00,6
Уведомление заявителя о не прохождении надзора,1970-04-26 20:53:11+00:00,6
Исправление замечаний по проекту,1970-04-26 20:53:12+00:00,6
Регистрация заявления,1970-04-26 20:53:13+00:00,6
Проверка инженером-экспертом,1970-04-26 20:53:14+00:00,6
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:53:15+00:00,6
Требуется ручная проверка,1970-04-26 20:53:16+00:00,6
Проверка архитектором-экспертом,1970-04-26 20:53:17+00:00,6
Отправить запрос на дополнительную экспертизу,1970-04-26 20:53:18+00:00,6
Проверка данных по материалу,1970-04-26 20:53:19+00:00,6
Запрос заключения пожарного эксперта,1970-04-26 20:53:20+00:00,6
Требуется ручная проверка,1970-04-26 20:53:21+00:00,6
Ручная проверка пожарного надзора,1970-04-26 20:53:22+00:00,6
Проверка санэпидем надзором,1970-04-26 20:53:23+00:00,6
Отправка документов со стороны инженерного отдела,1970-04-26 20:53:24+00:00,6
Отправка документов со стороны архитектурного отдела,1970-04-26 20:53:25+00:00,6
Формирование пакета документов,1970-04-26 20:53:26+00:00,6
Рассмотрение руководителем,1970-04-26 20:53:27+00:00,6
Оформление и подписание разрешения,1970-04-26 20:53:28+00:00,6
Уведомить о готовности,1970-04-26 20:53:29+00:00,6
Получение разрешения заявителем,1970-04-26 20:53:30+00:00,6
Внесение в реестр,1970-04-26 20:53:31+00:00,6
Архивирование документов,1970-04-26 20:53:32+00:00,6
Первичная проверка документов,1970-04-26 20:53:33+00:00,7
Регистрация заявления,1970-04-26 20:53:34+00:00,7
Проверка инженером-экспертом,1970-04-26 20:53:35+00:00,7
Проверка архитектором-экспертом,1970-04-26 20:53:36+00:00,7
Отправить запрос на дополнительную экспертизу,1970-04-26 20:53:37+00:00,7
Требуется ручная проверка,1970-04-26 20:53:38+00:00,7
Проверка инженером экспертом,1970-04-26 20:53:39+00:00,7
Проверка данных по материалу,1970-04-26 20:53:40+00:00,7
Запрос заключения пожарного эксперта,1970-04-26 20:53:41+00:00,7
Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:53:42+00:00,7
Отправка на медосмотр,1970-04-26 20:53:43+00:00,7
Медкомиссия,1970-04-26 20:53:44+00:00,7
Требуется ручная проверка,1970-04-26 20:53:45+00:00,7
