Unnamed: 0,activity,datetime,case_id,resource
49,Отправка документов со стороны инженерного отдела,1970-04-26 20:47:29+00:00,1,Система/Процесс
50,Запрос заключения пожарного эксперта,1970-04-26 20:47:30+00:00,1,Пожарный надзор
51,Требуется ручная проверка,1970-04-26 20:47:31+00:00,1,Система/Процесс
52,Ручная проверка пожарного надзора,1970-04-26 20:47:32+00:00,1,Пожарный надзор
53,Отправка документов со стороны архитектурного отдела,1970-04-26 20:47:33+00:00,1,Система/Процесс
54,Формирование пакета документов,1970-04-26 20:47:34+00:00,1,Система/Процесс
55,Рассмотрение руководителем,1970-04-26 20:47:35+00:00,1,Руководитель
56,Оформление и подписание разрешения,1970-04-26 20:47:36+00:00,1,Система/Процесс
57,Уведомить о готовности,1970-04-26 20:47:37+00:00,1,Система/Процесс
58,Получение разрешения заявителем,1970-04-26 20:47:38+00:00,1,Заявитель
59,Внесение в реестр,1970-04-26 20:47:39+00:00,1,Система/Процесс
60,Архивирование документов,1970-04-26 20:47:40+00:00,1,Система/Процесс
61,Первичная проверка документов,1970-04-26 20:47:41+00:00,2,Служащий
62,Уведомить о доработке,1970-04-26 20:47:42+00:00,2,Система/Процесс
63,Доработка заявления,1970-04-26 20:47:43+00:00,2,Система/Процесс
64,Первичная проверка документов,1970-04-26 20:47:44+00:00,2,Служащий
65,Регистрация заявления,1970-04-26 20:47:45+00:00,2,Система/Процесс
66,Проверка архитектором-экспертом,1970-04-26 20:47:46+00:00,2,Архитектор
67,Проверка инженером-экспертом,1970-04-26 20:47:47+00:00,2,Инженер
68,Требуется ручная проверка,1970-04-26 20:47:48+00:00,2,Система/Процесс
69,Требуется ручная проверка,1970-04-26 20:47:49+00:00,2,Система/Процесс
70,Проверка инженером экспертом,1970-04-26 20:47:50+00:00,2,Инженер
71,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:47:51+00:00,2,Санэпидемнадзор
72,Ручная проверка архитектора-эксперта,1970-04-26 20:47:52+00:00,2,Архитектор
73,Запрос заключения пожарного эксперта,1970-04-26 20:47:53+00:00,2,Пожарный надзор
74,Требуется ручная проверка,1970-04-26 20:47:54+00:00,2,Система/Процесс
75,Отправка на медосмотр,1970-04-26 20:47:55+00:00,2,Система/Процесс
76,Ручная проверка пожарного надзора,1970-04-26 20:47:56+00:00,2,Пожарный надзор
77,Медкомиссия,1970-04-26 20:47:57+00:00,2,Санэпидемнадзор
78,Отправка документов со стороны архитектурного отдела,1970-04-26 20:47:58+00:00,2,Система/Процесс
79,Отправка документов со стороны инженерного отдела,1970-04-26 20:47:59+00:00,2,Система/Процесс
80,Уведомление заявителя о не прохождении надзора,1970-04-26 20:48:00+00:00,2,Система/Процесс
81,Исправление замечаний по проекту,1970-04-26 20:48:01+00:00,2,Заявитель
82,Регистрация заявления,1970-04-26 20:48:02+00:00,2,Система/Процесс
83,Проверка инженером-экспертом,1970-04-26 20:48:03+00:00,2,Инженер
84,Проверка архитектором-экспертом,1970-04-26 20:48:04+00:00,2,Архитектор
85,Требуется ручная проверка,1970-04-26 20:48:05+00:00,2,Система/Процесс
86,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:48:06+00:00,2,Санэпидемнадзор
87,Отправка запроса миграционной службе,1970-04-26 20:48:07+00:00,2,Система/Процесс
88,Ручная проверка архитектора-эксперта,1970-04-26 20:48:08+00:00,2,Архитектор
89,Медкомиссия,1970-04-26 20:48:09+00:00,2,Санэпидемнадзор
90,Отправка документов со стороны инженерного отдела,1970-04-26 20:48:10+00:00,2,Система/Процесс
91,Запрос заключения пожарного эксперта,1970-04-26 20:48:11+00:00,2,Пожарный надзор
92,Требуется ручная проверка,1970-04-26 20:48:12+00:00,2,Система/Процесс
93,Ручная проверка пожарного надзора,1970-04-26 20:48:13+00:00,2,Пожарный надзор
94,Отправка документов со стороны архитектурного отдела,1970-04-26 20:48:14+00:00,2,Система/Процесс
95,Формирование пакета документов,1970-04-26 20:48:15+00:00,2,Система/Процесс
96,Рассмотрение заместителем руководителя,1970-04-26 20:48:16+00:00,2,Служащий
97,Отправить уведомление об отказе,1970-04-26 20:48:17+00:00,2,Система/Процесс
98,Первичная проверка документов,1970-04-26 20:48:18+00:00,3,Служащий
99,Регистрация заявления,1970-04-26 20:48:19+00:00,3,Система/Процесс
100,Проверка инженером-экспертом,1970-04-26 20:48:20+00:00,3,Инженер
101,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:48:21+00:00,3,Санэпидемнадзор
102,Проверка архитектором-экспертом,1970-04-26 20:48:22+00:00,3,Архитектор
103,Требуется ручная проверка,1970-04-26 20:48:23+00:00,3,Система/Процесс
104,Ручная проверка архитектора-эксперта,1970-04-26 20:48:24+00:00,3,Архитектор
105,Отправка документов со стороны инженерного отдела,1970-04-26 20:48:25+00:00,3,Система/Процесс
106,Запрос заключения пожарного эксперта,1970-04-26 20:48:26+00:00,3,Пожарный надзор
107,Требуется ручная проверка,1970-04-26 20:48:27+00:00,3,Система/Процесс
108,Ручная проверка пожарного надзора,1970-04-26 20:48:28+00:00,3,Пожарный надзор
109,Отправка документов со стороны архитектурного отдела,1970-04-26 20:48:29+00:00,3,Система/Процесс
110,Формирование пакета документов,1970-04-26 20:48:30+00:00,3,Система/Процесс
111,Рассмотрение руководителем,1970-04-26 20:48:31+00:00,3,Руководитель
112,Оформление и подписание разрешения,1970-04-26 20:48:32+00:00,3,Система/Процесс
113,Уведомить о готовности,1970-04-26 20:48:33+00:00,3,Система/Процесс
114,Получение разрешения заявителем,1970-04-26 20:48:34+00:00,3,Заявитель
115,Внесение в реестр,1970-04-26 20:48:35+00:00,3,Система/Процесс
116,Архивирование документов,1970-04-26 20:48:36+00:00,3,Система/Процесс
117,Первичная проверка документов,1970-04-26 20:48:37+00:00,4,Служащий
118,Регистрация заявления,1970-04-26 20:48:38+00:00,4,Система/Процесс
119,Проверка инженером-экспертом,1970-04-26 20:48:39+00:00,4,Инженер
120,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:48:40+00:00,4,Санэпидемнадзор
121,Отправка документов со стороны инженерного отдела,1970-04-26 20:48:41+00:00,4,Система/Процесс
122,Проверка архитектором-экспертом,1970-04-26 20:48:42+00:00,4,Архитектор
123,Запрос заключения пожарного эксперта,1970-04-26 20:48:43+00:00,4,Пожарный надзор
124,Требуется ручная проверка,1970-04-26 20:48:44+00:00,4,Система/Процесс
125,Ручная проверка пожарного надзора,1970-04-26 20:48:45+00:00,4,Пожарный надзор
126,Отправка документов со стороны архитектурного отдела,1970-04-26 20:48:46+00:00,4,Система/Процесс
127,Формирование пакета документов,1970-04-26 20:48:47+00:00,4,Система/Процесс
128,Рассмотрение руководителем,1970-04-26 20:48:48+00:00,4,Руководитель
129,Отправить уведомление об отказе,1970-04-26 20:48:49+00:00,4,Система/Процесс
130,Первичная проверка документов,1970-04-26 20:48:50+00:00,5,Служащий
131,Уведомить о доработке,1970-04-26 20:48:51+00:00,5,Система/Процесс
132,Доработка заявления,1970-04-26 20:48:52+00:00,5,Система/Процесс
133,Первичная проверка документов,1970-04-26 20:48:53+00:00,5,Служащий
134,Регистрация заявления,1970-04-26 20:48:54+00:00,5,Система/Процесс
135,Проверка инженером-экспертом,1970-04-26 20:48:55+00:00,5,Инженер
136,Проверка архитектором-экспертом,1970-04-26 20:48:56+00:00,5,Архитектор
137,Требуется ручная проверка,1970-04-26 20:48:57+00:00,5,Система/Процесс
138,Ручная проверка архитектора-эксперта,1970-04-26 20:48:58+00:00,5,Архитектор
139,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:48:59+00:00,5,Санэпидемнадзор
140,Требуется ручная проверка,1970-04-26 20:49:00+00:00,5,Система/Процесс
141,Проверка санэпидем надзором,1970-04-26 20:49:01+00:00,5,Санэпидемнадзор
142,Запрос заключения пожарного эксперта,1970-04-26 20:49:02+00:00,5,Пожарный надзор
143,Отправка запроса миграционной службе,1970-04-26 20:49:03+00:00,5,Система/Процесс
144,Требуется ручная проверка,1970-04-26 20:49:04+00:00,5,Система/Процесс
145,Отправка документов со стороны инженерного отдела,1970-04-26 20:49:05+00:00,5,Система/Процесс
146,Ручная проверка пожарного надзора,1970-04-26 20:49:06+00:00,5,Пожарный надзор
147,Отправка документов со стороны архитектурного отдела,1970-04-26 20:49:07+00:00,5,Система/Процесс
148,Формирование пакета документов,1970-04-26 20:49:08+00:00,5,Система/Процесс
149,Рассмотрение заместителем руководителя,1970-04-26 20:49:09+00:00,5,Служащий
150,Отправить уведомление об отказе,1970-04-26 20:49:10+00:00,5,Система/Процесс
151,Первичная проверка документов,1970-04-26 20:49:11+00:00,6,Служащий
152,Уведомить о доработке,1970-04-26 20:49:12+00:00,6,Система/Процесс
153,Доработка заявления,1970-04-26 20:49:13+00:00,6,Система/Процесс
154,Первичная проверка документов,1970-04-26 20:49:14+00:00,6,Служащий
155,Уведомить о доработке,1970-04-26 20:49:15+00:00,6,Система/Процесс
156,Доработка заявления,1970-04-26 20:49:16+00:00,6,Система/Процесс
157,Первичная проверка документов,1970-04-26 20:49:17+00:00,6,Служащий
158,Регистрация заявления,1970-04-26 20:49:18+00:00,6,Система/Процесс
159,Проверка инженером-экспертом,1970-04-26 20:49:19+00:00,6,Инженер
160,Требуется ручная проверка,1970-04-26 20:49:20+00:00,6,Система/Процесс
161,Проверка инженером экспертом,1970-04-26 20:49:21+00:00,6,Инженер
162,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:49:22+00:00,6,Санэпидемнадзор
163,Отправка запроса миграционной службе,1970-04-26 20:49:23+00:00,6,Система/Процесс
164,Проверка архитектором-экспертом,1970-04-26 20:49:24+00:00,6,Архитектор
165,Запрос заключения пожарного эксперта,1970-04-26 20:49:25+00:00,6,Пожарный надзор
166,Отправка документов со стороны инженерного отдела,1970-04-26 20:49:26+00:00,6,Система/Процесс
167,Требуется ручная проверка,1970-04-26 20:49:27+00:00,6,Система/Процесс
168,Ручная проверка пожарного надзора,1970-04-26 20:49:28+00:00,6,Пожарный надзор
169,Отправка документов со стороны архитектурного отдела,1970-04-26 20:49:29+00:00,6,Система/Процесс
170,Уведомление заявителя о не прохождении надзора,1970-04-26 20:49:30+00:00,6,Система/Процесс
171,Исправление замечаний по проекту,1970-04-26 20:49:31+00:00,6,Заявитель
172,Регистрация заявления,1970-04-26 20:49:32+00:00,6,Система/Процесс
173,Проверка инженером-экспертом,1970-04-26 20:49:33+00:00,6,Инженер
174,Требуется ручная проверка,1970-04-26 20:49:34+00:00,6,Система/Процесс
175,Проверка архитектором-экспертом,1970-04-26 20:49:35+00:00,6,Архитектор
176,Отправить запрос на дополнительную экспертизу,1970-04-26 20:49:36+00:00,6,Система/Процесс
177,Проверка данных по материалу,1970-04-26 20:49:37+00:00,6,Система/Процесс
178,Проверка инженером экспертом,1970-04-26 20:49:38+00:00,6,Инженер
179,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:49:39+00:00,6,Санэпидемнадзор
180,Запрос заключения пожарного эксперта,1970-04-26 20:49:40+00:00,6,Пожарный надзор
181,Отправка документов со стороны инженерного отдела,1970-04-26 20:49:41+00:00,6,Система/Процесс
182,Отправка документов со стороны архитектурного отдела,1970-04-26 20:49:42+00:00,6,Система/Процесс
183,Уведомление заявителя о не прохождении надзора,1970-04-26 20:49:43+00:00,6,Система/Процесс
184,Исправление замечаний по проекту,1970-04-26 20:49:44+00:00,6,Заявитель
185,Регистрация заявления,1970-04-26 20:49:45+00:00,6,Система/Процесс
186,Проверка архитектором-экспертом,1970-04-26 20:49:46+00:00,6,Архитектор
187,Проверка инженером-экспертом,1970-04-26 20:49:47+00:00,6,Инженер
188,Запрос заключения пожарного эксперта,1970-04-26 20:49:48+00:00,6,Пожарный надзор
189,Требуется ручная проверка,1970-04-26 20:49:49+00:00,6,Система/Процесс
190,Требуется ручная проверка,1970-04-26 20:49:50+00:00,6,Система/Процесс
191,Проверка инженером экспертом,1970-04-26 20:49:51+00:00,6,Инженер
192,Ручная проверка пожарного надзора,1970-04-26 20:49:52+00:00,6,Пожарный надзор
193,Отправка документов со стороны архитектурного отдела,1970-04-26 20:49:53+00:00,6,Система/Процесс
194,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:49:54+00:00,6,Санэпидемнадзор
195,Требуется ручная проверка,1970-04-26 20:49:55+00:00,6,Система/Процесс
196,Проверка санэпидем надзором,1970-04-26 20:49:56+00:00,6,Санэпидемнадзор
197,Отправка запроса миграционной службе,1970-04-26 20:49:57+00:00,6,Система/Процесс
198,Отправка документов со стороны инженерного отдела,1970-04-26 20:49:58+00:00,6,Система/Процесс
199,Уведомление заявителя о не прохождении надзора,1970-04-26 20:49:59+00:00,6,Система/Процесс
200,Исправление замечаний по проекту,1970-04-26 20:50:00+00:00,6,Заявитель
201,Регистрация заявления,1970-04-26 20:50:01+00:00,6,Система/Процесс
202,Проверка инженером-экспертом,1970-04-26 20:50:02+00:00,6,Инженер
203,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:50:03+00:00,6,Санэпидемнадзор
204,Проверка архитектором-экспертом,1970-04-26 20:50:04+00:00,6,Архитектор
205,Отправить запрос на дополнительную экспертизу,1970-04-26 20:50:05+00:00,6,Система/Процесс
206,Проверка данных по материалу,1970-04-26 20:50:06+00:00,6,Система/Процесс
207,Отправка документов со стороны инженерного отдела,1970-04-26 20:50:07+00:00,6,Система/Процесс
208,Запрос заключения пожарного эксперта,1970-04-26 20:50:08+00:00,6,Пожарный надзор
209,Требуется ручная проверка,1970-04-26 20:50:09+00:00,6,Система/Процесс
210,Ручная проверка пожарного надзора,1970-04-26 20:50:10+00:00,6,Пожарный надзор
211,Отправка документов со стороны архитектурного отдела,1970-04-26 20:50:11+00:00,6,Система/Процесс
212,Формирование пакета документов,1970-04-26 20:50:12+00:00,6,Система/Процесс
213,Рассмотрение руководителем,1970-04-26 20:50:13+00:00,6,Руководитель
214,Оформление и подписание разрешения,1970-04-26 20:50:14+00:00,6,Система/Процесс
215,Уведомить о готовности,1970-04-26 20:50:15+00:00,6,Система/Процесс
216,Получение разрешения заявителем,1970-04-26 20:50:16+00:00,6,Заявитель
217,Внесение в реестр,1970-04-26 20:50:17+00:00,6,Система/Процесс
218,Архивирование документов,1970-04-26 20:50:18+00:00,6,Система/Процесс
219,Первичная проверка документов,1970-04-26 20:50:19+00:00,7,Служащий
220,Регистрация заявления,1970-04-26 20:50:20+00:00,7,Система/Процесс
221,Проверка инженером-экспертом,1970-04-26 20:50:21+00:00,7,Инженер
222,Проверка архитектором-экспертом,1970-04-26 20:50:22+00:00,7,Архитектор
223,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:50:23+00:00,7,Санэпидемнадзор
224,Отправить запрос на дополнительную экспертизу,1970-04-26 20:50:24+00:00,7,Система/Процесс
225,Проверка данных по материалу,1970-04-26 20:50:25+00:00,7,Система/Процесс
226,Отправка на медосмотр,1970-04-26 20:50:26+00:00,7,Система/Процесс
227,Запрос заключения пожарного эксперта,1970-04-26 20:50:27+00:00,7,Пожарный надзор
228,Отправка документов со стороны архитектурного отдела,1970-04-26 20:50:28+00:00,7,Система/Процесс
229,Медкомиссия,1970-04-26 20:50:29+00:00,7,Санэпидемнадзор
230,Отправка документов со стороны инженерного отдела,1970-04-26 20:50:30+00:00,7,Система/Процесс
231,Формирование пакета документов,1970-04-26 20:50:31+00:00,7,Система/Процесс
232,Рассмотрение заместителем руководителя,1970-04-26 20:50:32+00:00,7,Служащий
233,Отправить уведомление об отказе,1970-04-26 20:50:33+00:00,7,Система/Процесс
234,Первичная проверка документов,1970-04-26 20:50:34+00:00,8,Служащий
235,Регистрация заявления,1970-04-26 20:50:35+00:00,8,Система/Процесс
236,Проверка архитектором-экспертом,1970-04-26 20:50:36+00:00,8,Архитектор
237,Проверка инженером-экспертом,1970-04-26 20:50:37+00:00,8,Инженер
238,Запрос заключения пожарного эксперта,1970-04-26 20:50:38+00:00,8,Пожарный надзор
239,Требуется ручная проверка,1970-04-26 20:50:39+00:00,8,Система/Процесс
240,Ручная проверка пожарного надзора,1970-04-26 20:50:40+00:00,8,Пожарный надзор
241,Отправка документов со стороны архитектурного отдела,1970-04-26 20:50:41+00:00,8,Система/Процесс
242,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:50:42+00:00,8,Санэпидемнадзор
243,Отправка документов со стороны инженерного отдела,1970-04-26 20:50:43+00:00,8,Система/Процесс
244,Формирование пакета документов,1970-04-26 20:50:44+00:00,8,Система/Процесс
245,Рассмотрение заместителем руководителя,1970-04-26 20:50:45+00:00,8,Служащий
246,Отправить уведомление об отказе,1970-04-26 20:50:46+00:00,8,Система/Процесс
247,Первичная проверка документов,1970-04-26 20:50:47+00:00,9,Служащий
248,Уведомить о доработке,1970-04-26 20:50:48+00:00,9,Система/Процесс
249,Доработка заявления,1970-04-26 20:50:49+00:00,9,Система/Процесс
250,Первичная проверка документов,1970-04-26 20:50:50+00:00,9,Служащий
251,Уведомить о доработке,1970-04-26 20:50:51+00:00,9,Система/Процесс
252,Доработка заявления,1970-04-26 20:50:52+00:00,9,Система/Процесс
253,Первичная проверка документов,1970-04-26 20:50:53+00:00,9,Служащий
254,Уведомить о доработке,1970-04-26 20:50:54+00:00,9,Система/Процесс
255,Доработка заявления,1970-04-26 20:50:55+00:00,9,Система/Процесс
256,Первичная проверка документов,1970-04-26 20:50:56+00:00,9,Служащий
257,Уведомить о доработке,1970-04-26 20:50:57+00:00,9,Система/Процесс
258,Доработка заявления,1970-04-26 20:50:58+00:00,9,Система/Процесс
259,Первичная проверка документов,1970-04-26 20:50:59+00:00,9,Служащий
260,Регистрация заявления,1970-04-26 20:51:00+00:00,9,Система/Процесс
261,Проверка архитектором-экспертом,1970-04-26 20:51:01+00:00,9,Архитектор
262,Отправить запрос на дополнительную экспертизу,1970-04-26 20:51:02+00:00,9,Система/Процесс
263,Проверка инженером-экспертом,1970-04-26 20:51:03+00:00,9,Инженер
264,Проверка данных по материалу,1970-04-26 20:51:04+00:00,9,Система/Процесс
265,Запрос заключения пожарного эксперта,1970-04-26 20:51:05+00:00,9,Пожарный надзор
266,Требуется ручная проверка,1970-04-26 20:51:06+00:00,9,Система/Процесс
267,Отправка документов со стороны архитектурного отдела,1970-04-26 20:51:07+00:00,9,Система/Процесс
268,Проверка инженером экспертом,1970-04-26 20:51:08+00:00,9,Инженер
269,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:51:09+00:00,9,Санэпидемнадзор
270,Отправка запроса миграционной службе,1970-04-26 20:51:10+00:00,9,Система/Процесс
271,Отправка документов со стороны инженерного отдела,1970-04-26 20:51:11+00:00,9,Система/Процесс
272,Уведомление заявителя о не прохождении надзора,1970-04-26 20:51:12+00:00,9,Система/Процесс
273,Исправление замечаний по проекту,1970-04-26 20:51:13+00:00,9,Заявитель
274,Регистрация заявления,1970-04-26 20:51:14+00:00,9,Система/Процесс
275,Проверка архитектором-экспертом,1970-04-26 20:51:15+00:00,9,Архитектор
276,Проверка инженером-экспертом,1970-04-26 20:51:16+00:00,9,Инженер
277,Требуется ручная проверка,1970-04-26 20:51:17+00:00,9,Система/Процесс
278,Запрос заключения пожарного эксперта,1970-04-26 20:51:18+00:00,9,Пожарный надзор
279,Проверка инженером экспертом,1970-04-26 20:51:19+00:00,9,Инженер
280,Требуется ручная проверка,1970-04-26 20:51:20+00:00,9,Система/Процесс
281,Ручная проверка пожарного надзора,1970-04-26 20:51:21+00:00,9,Пожарный надзор
282,Отправка документов со стороны архитектурного отдела,1970-04-26 20:51:22+00:00,9,Система/Процесс
283,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:51:23+00:00,9,Санэпидемнадзор
284,Отправка на медосмотр,1970-04-26 20:51:24+00:00,9,Система/Процесс
285,Медкомиссия,1970-04-26 20:51:25+00:00,9,Санэпидемнадзор
286,Отправка документов со стороны инженерного отдела,1970-04-26 20:51:26+00:00,9,Система/Процесс
287,Формирование пакета документов,1970-04-26 20:51:27+00:00,9,Система/Процесс
288,Рассмотрение заместителем руководителя,1970-04-26 20:51:28+00:00,9,Служащий
289,Оформление и подписание разрешения,1970-04-26 20:51:29+00:00,9,Система/Процесс
290,Уведомить о готовности,1970-04-26 20:51:30+00:00,9,Система/Процесс
291,Получение разрешения заявителем,1970-04-26 20:51:31+00:00,9,Заявитель
292,Внесение в реестр,1970-04-26 20:51:32+00:00,9,Система/Процесс
293,Архивирование документов,1970-04-26 20:51:33+00:00,9,Система/Процесс
294,Первичная проверка документов,1970-04-26 20:51:34+00:00,10,Служащий
295,Уведомить о доработке,1970-04-26 20:51:35+00:00,10,Система/Процесс
296,Доработка заявления,1970-04-26 20:51:36+00:00,10,Система/Процесс
297,Первичная проверка документов,1970-04-26 20:51:37+00:00,10,Служащий
298,Регистрация заявления,1970-04-26 20:51:38+00:00,10,Система/Процесс
299,Проверка архитектором-экспертом,1970-04-26 20:51:39+00:00,10,Архитектор
300,Запрос заключения пожарного эксперта,1970-04-26 20:51:40+00:00,10,Пожарный надзор
301,Проверка инженером-экспертом,1970-04-26 20:51:41+00:00,10,Инженер
302,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:51:42+00:00,10,Санэпидемнадзор
303,Требуется ручная проверка,1970-04-26 20:51:43+00:00,10,Система/Процесс
304,Ручная проверка пожарного надзора,1970-04-26 20:51:44+00:00,10,Пожарный надзор
305,Отправка документов со стороны архитектурного отдела,1970-04-26 20:51:45+00:00,10,Система/Процесс
306,Отправка запроса миграционной службе,1970-04-26 20:51:46+00:00,10,Система/Процесс
307,Медкомиссия,1970-04-26 20:51:47+00:00,10,Санэпидемнадзор
308,Отправка документов со стороны инженерного отдела,1970-04-26 20:51:48+00:00,10,Система/Процесс
309,Формирование пакета документов,1970-04-26 20:51:49+00:00,10,Система/Процесс
310,Рассмотрение заместителем руководителя,1970-04-26 20:51:50+00:00,10,Служащий
311,Оформление и подписание разрешения,1970-04-26 20:51:51+00:00,10,Система/Процесс
312,Уведомить о готовности,1970-04-26 20:51:52+00:00,10,Система/Процесс
313,Получение разрешения заявителем,1970-04-26 20:51:53+00:00,10,Заявитель
314,Внесение в реестр,1970-04-26 20:51:54+00:00,10,Система/Процесс
315,Архивирование документов,1970-04-26 20:51:55+00:00,10,Система/Процесс
316,Первичная проверка документов,1970-04-26 20:51:56+00:00,11,Служащий
317,Уведомить о доработке,1970-04-26 20:51:57+00:00,11,Система/Процесс
318,Доработка заявления,1970-04-26 20:51:58+00:00,11,Система/Процесс
319,Первичная проверка документов,1970-04-26 20:51:59+00:00,11,Служащий
320,Уведомить о доработке,1970-04-26 20:52:00+00:00,11,Система/Процесс
321,Доработка заявления,1970-04-26 20:52:01+00:00,11,Система/Процесс
322,Первичная проверка документов,1970-04-26 20:52:02+00:00,11,Служащий
323,Регистрация заявления,1970-04-26 20:52:03+00:00,11,Система/Процесс
324,Проверка инженером-экспертом,1970-04-26 20:52:04+00:00,11,Инженер
325,Запрос заключения санитарно-эпидемиологической службы,1970-04-26 20:52:05+00:00,11,Санэпидемнадзор
326,Требуется ручная проверка,1970-04-26 20:52:06+00:00,11,Система/Процесс
327,Проверка санэпидем надзором,1970-04-26 20:52:07+00:00,11,Санэпидемнадзор
328,Проверка архитектором-экспертом,1970-04-26 20:52:08+00:00,11,Архитектор
329,Запрос заключения пожарного эксперта,1970-04-26 20:52:09+00:00,11,Пожарный надзор
330,Отправка запроса миграционной службе,1970-04-26 20:52:10+00:00,11,Система/Процесс
331,Медкомиссия,1970-04-26 20:52:11+00:00,11,Санэпидемнадзор
332,Отправка документов со стороны инженерного отдела,1970-04-26 20:52:12+00:00,11,Система/Процесс
